ID,FirstName,LastName,Program and Plan,Academic Level,ASURITE,DECEMBER 31,MARCH 3,JULY 7,
6894906788,Ross,Dale,MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,PHD,oDale,48,7,47,
2780565577,Jonathan,Dylan,COMMUNICATIONS,Grad,oDylan,41,15,33,
2498469745,Gavin,Glenn,JOURNALISM,UnderGrad,aGlenn,38,17,2,
9002293459,Nicholas,Julian,MASS MEDIA,PHD,iJulian,11,35,25,
5034942870,Joseph,Leon,ADVERTISING AND PUBLIC RELATIONS,Grad,oLeon,40,44,5,
3262477271,Stewart,Allen,COMMUNICATION TECHNOLOGIES,PHD,tAllen,1,13,45,
4126181128,Daniel,Martyn,COMPUTER AND INFORMATION SYSTEMS,PHD,aMartyn,35,40,64,
7975333017,Edward,Nigel,COMPUTER PROGRAMMING AND DATA PROCESSING,PHD,dNigel,31,33,17,
7210517114,Matthew,Alisdair,COMPUTER SCIENCE,PHD,aAlisdair,23,6,12,
3558701707,Donald,Denis,INFORMATION SCIENCES,PHD,oDenis,25,44,42,
700372883,Fraser,Drew,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,UnderGrad,rDrew,30,45,39,
5487677421,Garry,Evan,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Grad,aEvan,18,21,45,
6557553098,Malcolm,Phillip,MATHEMATICS,UnderGrad,aPhillip,20,14,35,
514245768,Charles,Frazer,APPLIED MATHEMATICS,UnderGrad,hFrazer,7,4,41,
7866822339,Duncan,Guy,STATISTICS AND DECISION SCIENCE,UnderGrad,uGuy,9,16,43,
2469414600,Alistair,Laurence,MATHEMATICS AND COMPUTER SCIENCE,Grad,lLaurence,40,46,3,
6065809105,Raymond,Lawrence,GENERAL EDUCATION,PHD,aLawrence,7,34,6,
5472570271,Philip,Magnus,EDUCATIONAL ADMINISTRATION AND SUPERVISION,PHD,hMagnus,45,4,17,
9255859239,Ronald,Crawford,SCHOOL STUDENT COUNSELING,UnderGrad,oCrawford,20,8,40,
3174000805,Ewan,Finlay,ELEMENTARY EDUCATION,PHD,wFinlay,2,10,28,
4865503735,Ryan,Frederick,MATHEMATICS TEACHER EDUCATION,UnderGrad,yFrederick,7,10,22,
1640570815,Francis,Gregg,PHYSICAL AND HEALTH EDUCATION TEACHING,PHD,rGregg,3,43,15,
8657144647,Bruce,Karl,EARLY CHILDHOOD EDUCATION,PHD,rKarl,33,23,47,
6158585537,Patrick,Kerr,SCIENCE AND COMPUTER TEACHER EDUCATION,UnderGrad,aKerr,42,41,37,
4399352523,Alastair,Mohammed,SECONDARY TEACHER EDUCATION,PHD,lMohammed,32,26,44,
3196077727,Bryan,Rodney,SPECIAL NEEDS EDUCATION,PHD,rRodney,15,38,15,
448792237,Marc,Victor,SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION,PHD,aVictor,37,24,17,
6923246551,Jamie,Carl,TEACHER EDUCATION: MULTIPLE LEVELS,Grad,aCarl,26,5,41,
3866368154,Hugh,Daryl,LANGUAGE AND DRAMA EDUCATION,UnderGrad,uDaryl,2,42,29,
2333948532,Euan,Don,ART AND MUSIC EDUCATION,UnderGrad,uDon,22,14,23,
3515403345,Gerard,Edwin,MISCELLANEOUS EDUCATION,PHD,eEdwin,15,47,44,
4180024446,Sean,Erik,LIBRARY SCIENCE,UnderGrad,eErik,5,31,17,
5810959938,Wayne,Grahame,ARCHITECTURE,UnderGrad,aGrahame,38,29,50,
4790872717,Adam,Ivan,GENERAL ENGINEERING,PHD,dIvan,35,34,5,
6501451772,Calum,Kyle,AEROSPACE ENGINEERING,PHD,aKyle,35,45,26,
2438054027,Alasdair,Leigh,BIOLOGICAL ENGINEERING,PHD,lLeigh,38,26,31,
2081936553,Robin,Lorne,ARCHITECTURAL ENGINEERING,Grad,oLorne,22,5,17,
8860847550,Greig,Maurice,BIOMEDICAL ENGINEERING,UnderGrad,rMaurice,16,34,49,
9016496428,Angus,Murdo,CHEMICAL ENGINEERING,Grad,nMurdo,39,34,15,
1799517976,Russell,Nicolas,CIVIL ENGINEERING,UnderGrad,uNicolas,24,40,8,
5974024150,Cameron,Steve,COMPUTER ENGINEERING,Grad,aSteve,27,47,41,
4839470102,Roderick,Allister,ELECTRICAL ENGINEERING,Grad,oAllister,49,23,30,
1067987720,Norman,Clark,ENGINEERING MECHANICS PHYSICS AND SCIENCE,UnderGrad,oClark,18,24,4,
2764703789,Murray,Darran,ENVIRONMENTAL ENGINEERING,Grad,uDarran,25,22,2,
4614161570,Gareth,Dennis,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,UnderGrad,aDennis,33,24,21,
2506780878,Dean,Elliot,INDUSTRIAL AND MANUFACTURING ENGINEERING,UnderGrad,eElliot,17,8,14,
3173226907,Eric,Leonard,MATERIALS ENGINEERING AND MATERIALS SCIENCE,Grad,rLeonard,17,28,48,
6430896490,Adrian,Nairn,MECHANICAL ENGINEERING,UnderGrad,dNairn,1,36,38,
1597670259,Gregor,Scot,METALLURGICAL ENGINEERING,PHD,rScot,15,2,18,
5624129883,Samuel,Stefan,MINING AND MINERAL ENGINEERING,PHD,aStefan,28,42,13,
5513051540,Gerald,Toby,NAVAL ARCHITECTURE AND MARINE ENGINEERING,UnderGrad,eToby,35,7,1,
4522474600,Henry,Warren,NUCLEAR ENGINEERING,Grad,eWarren,46,30,22,
9032651663,Justin,Billy,PETROLEUM ENGINEERING,Grad,uBilly,2,49,30,
2035359971,Benjamin,Clive,MISCELLANEOUS ENGINEERING,Grad,eClive,24,10,4,
3945167269,Shaun,Damien,ENGINEERING TECHNOLOGIES,Grad,hDamien,27,48,13,
6950874173,Callum,Louis,ENGINEERING AND INDUSTRIAL MANAGEMENT,UnderGrad,aLouis,40,25,29,
